IMT	f	Cr	Mh	c	Vc	f4	f5	b3 	b4 	c0_crust	c1_crust	c2_crust	c0_slab	c1_slab	c2_slab	sigma_crust	sigma_inter	sigma_slab	We_crust	We_inter	We_slab	Be_crust	Be_inter	Be_slab	phiSS	phiS2S
0.2	5.0	0.0	5.45	-0.6876	1392.61	-0.2466	-0.00614	-0.2868	0.01376	9.425999403527179	0.9886715	-0.05878925	10.060366678372684	1.0864323	-0.07208625	0.62934822795332	0.7003250750070275	0.7812085413412269	0.40433456715843896	0.5179493367157763	0.5103603205892977	0.282570615809997	0.2607522151209789	0.4431444095718754	0.391	0.39052653111962177
0.25	4.0	0.0	5.6	-0.7718	1356.21	-0.2357	-0.00644	-0.2429	0.00921	9.400978398966435	1.0655217	-0.076296	9.94499164162361	1.1754314	-0.0939545	0.6364788434045003	0.6997063485481421	0.7859723693157739	0.4169638474324149	0.5350283988040097	0.5337457481107514	0.2893271786562412	0.23395142039929617	0.429765816021302	0.384	0.3836469148549545
0.3	3.33333	0.0	5.85	-0.8417	1308.47	-0.2191	-0.0067	-0.2117	0.00516	9.31462930846504	1.1256027	-0.09774775	9.80840087671372	1.2460185	-0.12194525	0.6476842991992406	0.7022982272409706	0.7997939432339602	0.4278626270559082	0.5509918180721474	0.5607930049617407	0.3055967048476415	0.2143896265165045	0.4265343674782976	0.378	0.37766755276988906
0.4	2.5	0.0	6.15	-0.9109	1252.66	-0.1958	-0.00713	-0.1927	0.00485	9.074706776791004	1.2309587	-0.12085225	9.577475876444302	1.3634232	-0.15667399999999998	0.6648696462859236	0.7068638654913685	0.811975576257812	0.4365197266524931	0.560032587725819	0.5792396998336307	0.32560429207358604	0.1993383833764777	0.42158879878273203	0.381	0.3809947294977728
0.5	2.0	0.0	6.25	-0.9693	1203.91	-0.1704	-0.00744	-0.2079	0.00854	8.817452249489218	1.3032952	-0.14744849999999998	9.32794525348702	1.4405523	-0.19599999999999998	0.6871339287525104	0.7177936426009061	0.8153838267457427	0.44279641720728957	0.5611304611239747	0.5855853769054746	0.3415534706220712	0.19978381598005535	0.40142503640863914	0.399	0.3988186029791936
0.8	1.25	0.0	6.85	-1.021	1139.21	-0.1325	-0.00822	-0.2523	0.01906	8.320659229868042	1.483485	-0.17547875000000002	8.63630536066836	1.618299	-0.22932225	0.7227319111253193	0.7796828319401468	0.8040846027933133	0.44235363196513633	0.5590179102957173	0.57845377547871	0.35239252277145916	0.3017808673471931	0.3308311465877946	0.45	0.4498667035514564
1	1.0	0.0	6.45	-1.05	1109.95	-0.1052	-0.00844	-0.2974	0.02765	7.981309708927386	1.5761653	-0.19015725	8.247458383864164	1.7047097	-0.23817975	0.7086482471792378	0.7907719578311354	0.7960615402398463	0.4394312772469907	0.5453512504628122	0.5563070658729088	0.3346901625936556	0.3608554331805065	0.3553978359014634	0.444	0.4438369290975809
1.25	0.8	0.0	6.75	-1.0569	1092.355	-0.08645	-0.008355	-0.3503	0.03777	7.609998504592128	1.6801181	-0.1948715	7.823541071849577	1.786298	-0.22560625	0.6914742033252081	0.7928613945552839	0.7829131806113574	0.4321468090535583	0.5500409541798614	0.5345113512357483	0.3262227935569085	0.3748196458568741	0.37597290112563225	0.43	0.4299790029002564
1.4925	0.67	0.0	6.75	-1.045775	1073.0185	-0.068455	-0.00773625	-0.3849	0.0443	7.284725884877304	1.7616873	-0.193534	7.477734440641003	1.8614327	-0.203527	0.6764049743204232	0.7939260095117294	0.7738696242106579	0.4193647173845195	0.5456475383398192	0.5149750243609703	0.3240955212276884	0.39376107829456936	0.3956422197598114	0.42	0.41999169655557256
2	0.5	0.0	6.65	-1.0392	1009.49	-0.0361	-0.00479	-0.4353	0.05361	6.711308742612715	1.8380264	-0.18259350000000002	6.911435760226662	1.9314196	-0.17143025	0.669689082319815	0.7896569241312599	0.7649065240948513	0.4038045546303912	0.5221316780167684	0.49296475590416555	0.33045050683682486	0.4164952004008101	0.4067228753034163	0.419	0.41933613369975437
2.5	0.4	0.0	6.7	-1.0294	966.94	-0.0231	-0.00272	-0.4787	0.06143	6.247048499479182	1.9002	-0.16693950000000002	6.418083061278378	1.9799697	-0.1343235	0.670373105706968	0.7819426487341783	0.7468041844260904	0.39116880370398177	0.4883177532519776	0.46477172588195376	0.3399092594698101	0.43683438686573384	0.4002478950230425	0.425	0.42495113983847077
4	0.25	0.1625	6.85	-0.9694	844.48	-0.0032	-0.00152	-0.5515	0.07429	5.374615407158997	2.0167091	-0.1332915	5.467385016727218	2.0554833	-0.07200575000000001	0.654985253565733	0.770851340231842	0.6902623772707879	0.380109202772053	0.433740632018919	0.4261461296327842	0.32773368389379076	0.477345888565118	0.3426495625639881	0.421	0.4205022303190184
5	0.2	0.2852	6.85	-0.9195	793.13	-0.0003	-0.00144	-0.58	0.07896	4.9509007319275815	2.0501199	-0.11808099999999999	4.9509007319275815	2.0793119	-0.05302325	0.6267472561392151	0.7598556274971315	0.6601746363901264	0.370651807106186	0.40976213663467137	0.41181491729444897	0.3032575763456508	0.49469596874777405	0.3203831420898852	0.404	0.403953612748006
